08:55:23.704 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.004949
08:55:23.723 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002807
08:55:23.741 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002427
08:55:23.763 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002646
08:55:23.783 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001714
08:55:23.801 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002742
08:55:23.819 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002223
08:55:23.836 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001920
08:55:23.853 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002381
08:55:23.870 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001960
08:55:23.888 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002229
08:55:23.904 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001873
08:55:23.921 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001824
08:55:23.939 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002047
08:55:23.956 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002004
08:55:23.976 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001791
08:55:23.995 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002248
08:55:24.012 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002032
08:55:24.030 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001872
08:55:24.046 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001977
08:55:24.063 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001670
08:55:24.080 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002339
08:55:24.097 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002019
08:55:24.116 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.003375
08:55:24.133 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001800
